"Entrez.ID","Symbol","Name","Gene.Family","Type","ENSEMBL.ID"
3638,"INSIG1","insulin induced gene 1","","landmark","ENSG00000186480"
2309,"FOXO3","forkhead box O3","Forkhead boxes","landmark","ENSG00000118689"
1001,"CDH3","cadherin 3","Type I classical cadherins","landmark","ENSG00000062038"
4998,"ORC1","origin recognition complex subunit 1","AAA ATPases, Origin recognition complex ","landmark","ENSG00000085840"
3682,"ITGAE","integrin subunit alpha E","CD molecules, Integrin alpha subunits","landmark","ENSG00000083457"
1022,"CDK7","cyclin dependent kinase 7","Cyclin dependent kinases","landmark","ENSG00000134058"
2353,"FOS","Fos proto-oncogene, AP-1 transcription factor subunit","Basic leucine zipper proteins, Fos transcription factor family","landmark","ENSG00000170345"
1021,"CDK6","cyclin dependent kinase 6","Cyclin dependent kinases","landmark","ENSG00000105810"
1019,"CDK4","cyclin dependent kinase 4","Cyclin dependent kinases","landmark","ENSG00000135446"
1017,"CDK2","cyclin dependent kinase 2","Cyclin dependent kinases","landmark","ENSG00000123374"
3693,"ITGB5","integrin subunit beta 5","Integrin beta subunits","landmark","ENSG00000082781"
1029,"CDKN2A","cyclin dependent kinase inhibitor 2A","","landmark","ENSG00000147889"
1027,"CDKN1B","cyclin dependent kinase inhibitor 1B","","landmark","ENSG00000111276"
1026,"CDKN1A","cyclin dependent kinase inhibitor 1A","","landmark","ENSG00000124762"
2356,"FPGS","folylpolyglutamate synthase","","landmark","ENSG00000136877"
1052,"CEBPD","CCAAT/enhancer binding protein delta","Basic leucine zipper proteins, CCAAT/enhancer binding proteins ","landmark","ENSG00000221869"
1050,"CEBPA","CCAAT/enhancer binding protein alpha","Basic leucine zipper proteins, CCAAT/enhancer binding proteins ","landmark","ENSG00000245848"
1062,"CENPE","centromere protein E","Kinesins, Protein phosphatase 1 regulatory subunits","landmark","ENSG00000138778"
85377,"MICALL1","MICAL like 1","LIM domain containing","landmark","ENSG00000100139"
1070,"CETN3","centrin 3","EF-hand domain containing","landmark","ENSG00000153140"
11065,"UBE2C","ubiquitin conjugating enzyme E2 C","Ubiquitin conjugating enzymes E2","landmark","ENSG00000175063"
11072,"DUSP14","dual specificity phosphatase 14","Atypical dual specificity phosphatases","landmark","ENSG00000276023"
11073,"TOPBP1","topoisomerase (DNA) II binding protein 1","BRCA1 B complex","landmark","ENSG00000163781"
11041,"B4GAT1","beta-1,4-glucuronyltransferase 1","","landmark","ENSG00000174684"
23029,"RBM34","RNA binding motif protein 34","RNA binding motif containing","landmark","ENSG00000188739"
11044,"PAPD7","poly(A) RNA polymerase D7, non-canonical","Non-canonical poly(A) polymerases","landmark","ENSG00000112941"
23038,"WDTC1","WD and tetratricopeptide repeats 1","WD repeat domain containing, DDB1 and CUL4 associated factors, Tetratricopeptide repeat domain containing","landmark","ENSG00000142784"
23039,"XPO7","exportin 7","Exportins","landmark","ENSG00000130227"
26993,"AKAP8L","A-kinase anchoring protein 8 like","","landmark","ENSG00000011243"
11031,"RAB31","RAB31, member RAS oncogene family","RAB, member RAS oncogene GTPases","landmark","ENSG00000168461"
23013,"SPEN","spen family transcriptional repressor","RNA binding motif containing","landmark","ENSG00000065526"
23014,"FBXO21","F-box protein 21","F-boxes other","landmark","ENSG00000135108"
23011,"RAB21","RAB21, member RAS oncogene family","RAB, member RAS oncogene GTPases","landmark","ENSG00000080371"
11000,"SLC27A3","solute carrier family 27 member 3","Acyl-CoA synthetase family, Solute carriers","landmark","ENSG00000143554"
